,0
loading.Output->fgv_nuci,0.07716930924706028
loading.Global.1->concessoes_PJ_total,-0.07508121752622132
loading.Global.2->concessoes_PJ_total,-0.0027725892401980743
loading.Credit->concessoes_PJ_total,-0.14529229413176836
loading.Global.1->concessoes_PF_total,-0.10652080234793374
loading.Global.2->concessoes_PF_total,-0.03531010970839025
loading.Credit->concessoes_PF_total,-0.14275647173462697
loading.Global.1->concessoes_livres_PJ_total,-0.06462099148397282
loading.Global.2->concessoes_livres_PJ_total,-0.008003837407038158
loading.Credit->concessoes_livres_PJ_total,-0.18280953503570904
loading.Global.1->concessoes_livres_PJ_capital_giro,-0.017637423127900932
loading.Global.2->concessoes_livres_PJ_capital_giro,0.03324492887997897
loading.Credit->concessoes_livres_PJ_capital_giro,-0.02159973321022731
loading.Global.1->concessoes_livres_PF_total,-0.097246861454897
loading.Global.2->concessoes_livres_PF_total,-0.030905619714192267
loading.Credit->concessoes_livres_PF_total,-0.1557957188825644
loading.Global.1->concessoes_direcionados_PJ_total,-0.0464520481674374
loading.Global.2->concessoes_direcionados_PJ_total,0.030002099119703272
loading.Credit->concessoes_direcionados_PJ_total,0.07180197886133698
loading.Global.1->concessoes_direcionados_PF_total,-0.08926001818057783
loading.Global.2->concessoes_direcionados_PF_total,-0.037277490939491474
loading.Credit->concessoes_direcionados_PF_total,-0.02868423209893782
loading.Global.1->concessoes_direcionados_credito_rural,-0.029478327718746866
loading.Global.2->concessoes_direcionados_credito_rural,-0.009159529500815368
loading.Credit->concessoes_direcionados_credito_rural,-0.038642289202968874
loading.Global.1->selic_mensal,0.02015464800793978
loading.Global.2->selic_mensal,0.05599880469967611
loading.Credit->selic_mensal,-0.06548480385771085
loading.Global.1->abcr_trafego_veiculos_pesados,-0.14649307728482466
loading.Global.2->abcr_trafego_veiculos_pesados,-0.04061221329981338
loading.Output->abcr_trafego_veiculos_pesados,0.04382657506666544
loading.Global.1->inadimplencia_livres_total,0.024481053754755653
loading.Global.2->inadimplencia_livres_total,0.1358109027795198
loading.Credit->inadimplencia_livres_total,0.11526361964798536
loading.Global.1->inadimplencia_livres_PJ_total,0.029320620304282473
loading.Global.2->inadimplencia_livres_PJ_total,0.10217671091582307
loading.Credit->inadimplencia_livres_PJ_total,0.11955827405708726
loading.Global.1->inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis,0.017340623060540506
loading.Global.2->inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis,0.09011757457263007
loading.Credit->inadimplencia_livres_PJ_desconto_de_duplicatas_e_recebiveis,0.013823732520536088
loading.Global.1->inadimplencia_livres_PJ_capital_de_giro_total,0.01537748773172263
loading.Global.2->inadimplencia_livres_PJ_capital_de_giro_total,0.0963410254074259
loading.Credit->inadimplencia_livres_PJ_capital_de_giro_total,0.06379139336152931
loading.Global.1->inadimplencia_livres_PJ_aquisicao_de_bens_total,0.006133693970631967
loading.Global.2->inadimplencia_livres_PJ_aquisicao_de_bens_total,0.09854366653669107
loading.Credit->inadimplencia_livres_PJ_aquisicao_de_bens_total,0.15240786186101085
loading.Global.1->inadimplencia_livres_PJ_cartao_de_credito_total,0.04990105496085416
loading.Global.2->inadimplencia_livres_PJ_cartao_de_credito_total,0.09927836522769976
loading.Credit->inadimplencia_livres_PJ_cartao_de_credito_total,0.05896157817285262
loading.Global.1->inadimplencia_livres_PF_total,0.015841481070014003
loading.Global.2->inadimplencia_livres_PF_total,0.13034308174480702
loading.Credit->inadimplencia_livres_PF_total,0.0923402468384012
loading.Global.1->inadimplencia_livres_PF_cheque_especial,0.04385402009596168
loading.Global.2->inadimplencia_livres_PF_cheque_especial,0.12450535011583799
loading.Credit->inadimplencia_livres_PF_cheque_especial,0.03564697649723915
loading.Global.1->inadimplencia_livres_PF_credito_pessoal_nao_consignado_total,0.03979239704047827
loading.Global.2->inadimplencia_livres_PF_credito_pessoal_nao_consignado_total,0.12517443833029396
loading.Credit->inadimplencia_livres_PF_credito_pessoal_nao_consignado_total,0.0633801871453491
loading.Global.1->inadimplencia_livres_PF_credito_pessoal_consignado_total,-0.05619554383707946
loading.Global.2->inadimplencia_livres_PF_credito_pessoal_consignado_total,-0.07266107565337243
loading.Credit->inadimplencia_livres_PF_credito_pessoal_consignado_total,0.17846288704850033
loading.Global.1->inadimplencia_livres_PF_aquisicao_de_bens_total,-0.0035347929299524763
loading.Global.2->inadimplencia_livres_PF_aquisicao_de_bens_total,0.10354485583100094
loading.Credit->inadimplencia_livres_PF_aquisicao_de_bens_total,0.09621350351604471
loading.Global.1->inadimplencia_livres_PF_cartao_de_credito_total,0.048488822115118284
loading.Global.2->inadimplencia_livres_PF_cartao_de_credito_total,0.13164097050059373
loading.Credit->inadimplencia_livres_PF_cartao_de_credito_total,0.03677798290426178
loading.Global.1->concessoes_livres_total,-0.07425543526770466
