variable;frequency;tid_mensal;pipeline_mensal;votos_mensal;cv_var_mensal;iqr_mensal;steps_mensal;nobs_mensal;tid_anual;pipeline_anual;votos_anual;cv_var_anual;iqr_anual;steps_anual;nobs_anual
ipca_transportes;Monthly;7.0;yeojohnson→diff;4.0;0.8621785394692786;1.0604441264188704;2.0;322.0;8;sdiff12;4;0.9844961321360358;2.79092348211654;1;311
ipca_vestuario;Monthly;6.0;yeojohnson;4.0;0.9316059203037271;1.2050512453145723;1.0;366.0;8;sdiff12;4;0.8820949355777127;0.8924512883887596;1;354
ipcbr;Monthly;1.0;diff;4.0;0.753238159855739;1.6608709923662759;1.0;365.0;8;sdiff12;4;0.8749976221473894;1.1756508690939336;1;354
isas_fgv;Monthly;7.0;yeojohnson→diff;4.0;1.3191918386953503;2.515200255103933;2.0;216.0;12;boxcox→sdiff12→diff;3;0.9902375510529833;2.9185890510368875;3;204
ivgr;Monthly;5.0;boxcox→diff;3.0;1.0209067494815611;1.4253463547827658;2.0;301.0;12;boxcox→sdiff12→diff;4;1.1889571141476565;2.1630501825856254;3;289
mvgr;Monthly;1.0;diff;4.0;0.7167931433850355;1.3174120940816803;1.0;265.0;9;sdiff12→diff;4;0.5561206353936364;0.775786324732399;2;253
papelao_expedicao;Monthly;3.0;log→diff;4.0;0.9409873192236387;0.5351764945476298;3.0;364.0;8;sdiff12;4;0.7445559221405966;1.5899493611056257;1;353
pib;Quarterly;3.0;log→diff;3.0;0.771215001035266;0.968328663408214;3.0;120.0;21;log→sdiff4→diff;4;1.6901089262016895;1.0965760106282578;4;116
pim_bens_capital;Monthly;1.0;diff;4.0;0.777912272303076;2.1017830994984066;1.0;292.0;9;sdiff12→diff;4;0.6940705269537698;1.053622228004078;2;280
pim_bens_consumo;Monthly;5.0;boxcox→diff;4.0;1.1868437675532844;1.210944888365945;2.0;292.0;12;boxcox→sdiff12→diff;4;1.0246886226924707;1.2051289619070678;3;280
pim_bens_duraveis;Monthly;5.0;boxcox→diff;4.0;1.1566133724396903;2.029779025935317;2.0;292.0;8;sdiff12;4;1.1523458648214409;1.8887573873626318;1;281
pim_bens_intermediarios;Monthly;1.0;diff;4.0;1.0275443452565802;2.2752573760478723;1.0;292.0;9;sdiff12→diff;4;0.904768860592775;2.205313339221023;2;280
pim_bens_semi_e_nao_duraveis;Monthly;7.0;yeojohnson→diff;4.0;0.9195930747922227;0.7358508806866563;2.0;292.0;8;sdiff12;4;0.8848519350153645;0.9769668000894002;1;281
pim_industria_extrativa;Monthly;13.0;mom_pct;4.0;0.5977211406981735;1.0799347982023495;1.0;292.0;9;sdiff12→diff;4;0.5446162405253153;0.8745198155595265;2;280
pim_industria_transformacao;Monthly;1.0;diff;4.0;1.3900813867735458;3.44829219252404;1.0;292.0;8;sdiff12;4;1.17560157829513;2.279255677614476;1;281
pim_insumo_constr_civil;Monthly;1.0;diff;4.0;0.9399268091964649;1.273140929670662;1.0;172.0;14;mom_pct_annual_rate;4;1.242830843489609;2.610416737206887;1;172
pmc_automoveis;Monthly;1.0;diff;4.0;1.1034543454207002;2.6045184170498437;1.0;315.0;9;sdiff12→diff;4;0.9631659512528143;3.1126859778332316;2;303
pmc_combustiveis;Monthly;1.0;diff;4.0;0.8306826684240349;1.0887544875293433;1.0;315.0;9;sdiff12→diff;4;0.7064817094513596;0.9507439957297016;2;303
pmc_comercio_ampliado;Monthly;7.0;yeojohnson→diff;4.0;1.2373033676395837;1.8694941157283909;2.0;280.0;12;boxcox→sdiff12→diff;4;0.9882421350392618;1.4568469212201771;3;268
pmc_eqp_material_escritorio;Monthly;1.0;diff;4.0;0.9411854608645976;1.4719172699679244;1.0;280.0;9;sdiff12→diff;4;0.7361506511252534;0.6993931274385956;2;268
pmc_farmaceuticos;Monthly;13.0;mom_pct;4.0;1.280048322007308;1.456243303736855;1.0;280.0;14;mom_pct_annual_rate;4;1.280048322007308;1.456243303736855;1;280
pmc_hiper_supermercados;Monthly;3.0;log→diff;4.0;1.1198458859570881;0.9227800463541219;3.0;315.0;11;log→sdiff12→diff;4;0.8478293083149367;0.816103998944421;4;303
pmc_livros_jornais;Monthly;1.0;diff;4.0;0.8124168401234918;1.2855136291372913;1.0;280.0;9;sdiff12→diff;4;0.8555471969729052;1.0199958664005166;2;268
pmc_material_construcao;Monthly;3.0;log→diff;4.0;1.1334237538414955;0.6418812522854285;3.0;280.0;11;log→sdiff12→diff;4;1.010466272658886;0.7393316020484066;4;268
pmc_moveis_eletrodomesticos;Monthly;3.0;log→diff;4.0;2.0175634249682015;0.7669598042566635;3.0;315.0;8;sdiff12;4;1.6051069130718645;2.267357249803965;1;304
pmc_outros_pessoal;Monthly;1.0;diff;4.0;2.0573215471658655;1.6108284675304874;1.0;280.0;8;sdiff12;4;1.792293361435275;6.113218810562689;1;269
pmc_vestuário;Monthly;5.0;boxcox→diff;4.0;1.6275179291992565;0.917338754525594;2.0;315.0;12;boxcox→sdiff12→diff;4;1.2280892367744045;0.6455720495498913;3;303
pnadc_massa_salarial_efetiva;Monthly;;;;;;;;15;yoy_pct_monthly;3;1.121079103247018;5.514849495836258;1;159
pnadc_massa_salarial_habitual;Monthly;13.0;mom_pct;4.0;0.7421987527512796;1.5942745820553132;1.0;170.0;14;mom_pct_annual_rate;4;0.7421987527512796;1.5942745820553132;1;170
pnadc_salario_real_com_carteira;Monthly;1.0;diff;4.0;0.6348934745671735;1.0151125896088518;1.0;170.0;9;sdiff12→diff;4;0.5490732493663986;0.8103511897424163;2;158
pnadc_salario_real_conta_propria;Monthly;13.0;mom_pct;4.0;0.5910388251373655;0.8379140626145252;1.0;170.0;9;sdiff12→diff;4;0.46570381767025226;0.6601449372886244;2;158
pnadc_salario_real_efetivo;Monthly;;;;;;;;8;sdiff12;3;1.3458455933781814;3.9902814395770285;1;159
pnadc_salario_real_empregadores;Monthly;1.0;diff;4.0;0.5193772294419235;0.8620872291784193;1.0;170.0;14;mom_pct_annual_rate;4;0.5204675322383895;1.018479707220624;1;170
pnadc_salario_real_sem_carteira;Monthly;13.0;mom_pct;4.0;0.6416346463571674;1.3606381938815195;1.0;170.0;14;mom_pct_annual_rate;4;0.6416346463571674;1.3606381938815195;1;170
pnadc_salario_real_setor_privado;Monthly;13.0;mom_pct;4.0;0.9645657965464812;1.4698131237837546;1.0;170.0;9;sdiff12→diff;4;0.8000273863041223;1.7287090083623016;2;158
pnadc_salario_real_setor_publico;Monthly;1.0;diff;4.0;0.7691995963464929;1.1422143363924437;1.0;170.0;12;boxcox→sdiff12→diff;4;0.7654416561099722;1.2112896416724963;3;158
prod_LGN;Monthly;3.0;log→diff;4.0;0.48632773576196;0.6985884754907289;3.0;363.0;14;mom_pct_annual_rate;4;0.4929757104542629;0.7261100385762231;1;363
prod_aco_bruto;Monthly;1.0;diff;4.0;0.761612952510418;0.9659107194046874;1.0;364.0;9;sdiff12→diff;4;0.762453935076275;0.9379124680882321;2;352
prod_automoveis_e_comerciais_leves;Monthly;1.0;diff;4.0;0.9541368973012886;1.3179014444866735;1.0;365.0;9;sdiff12→diff;4;0.8587547058866181;1.1688752736734083;2;353
prod_caminhoes;Monthly;7.0;yeojohnson→diff;4.0;1.2358610045373568;3.8418007750853165;2.0;365.0;8;sdiff12;4;1.0613836577174023;3.0114251274229735;1;354
prod_fertilizante;Monthly;5.0;boxcox→diff;4.0;0.4543798503280294;0.4584464703859101;2.0;339.0;15;yoy_pct_monthly;4;0.7670451620165278;1.1155394288338032;1;328
prod_gas_natural;Monthly;5.0;boxcox→diff;4.0;0.5906701121993777;0.6537444701630268;2.0;363.0;14;mom_pct_annual_rate;4;0.5978303476585772;0.6759288518801716;1;363
prod_oleo_bruto;Monthly;3.0;log→diff;4.0;0.7159540808265582;1.321661625704389;3.0;363.0;11;log→sdiff12→diff;4;0.5804806001463186;0.8733509115625353;4;351
prod_onibus;Monthly;7.0;yeojohnson→diff;4.0;1.0071238482853133;1.15722644501984;2.0;365.0;8;sdiff12;4;0.7261406769905927;1.1302752577970232;1;354
prod_total_autoveiculos;Monthly;7.0;yeojohnson→diff;4.0;0.8127507508963647;1.665912160759165;2.0;292.0;12;boxcox→sdiff12→diff;4;0.728795328161012;0.9632434472232572;3;280
renda_disponivel_familias_restrita;Monthly;13.0;mom_pct;4.0;1.1511436188945114;0.8830038920852411;1.0;278.0;14;mom_pct_annual_rate;4;1.1511436188945114;0.8830038920852411;1;278
selic_mensal;Monthly;3.0;log→diff;4.0;1.6164209819911937;6.559436253463234;3.0;365.0;10;log→sdiff12;4;1.603840906875958;1.1989911332177763;3;354
tjlp;Monthly;7.0;yeojohnson→diff;4.0;1.0486835190776025;1.42286696978475;2.0;365.0;12;boxcox→sdiff12→diff;4;1.0328820791929287;0.9450332179838103;3;353
tx_desemprego;Monthly;3.0;log→diff;3.0;0.7041523498008708;1.349915890601664;3.0;170.0;11;log→sdiff12→diff;4;0.6746428643443909;0.7292117708030742;4;158
vendas_autoveiculos_externo;Monthly;1.0;diff;4.0;0.24224087613843087;0.38324592060718005;1.0;256.0;8;sdiff12;4;0.5272411559328746;0.8164468630404701;1;245
vendas_autoveiculos_interno;Monthly;1.0;diff;4.0;0.8827777539137484;2.062056561013529;1.0;256.0;9;sdiff12→diff;4;0.7343975971021447;1.1166066939773547;2;244
vendas_total_autoveiculos;Monthly;5.0;boxcox→diff;4.0;0.7786645789174192;1.5585980329129423;2.0;256.0;10;log→sdiff12;4;1.7835387051148381;1.3981669879588536;3;245
