variable;tid_atual;cat_atual;pipeline_atual;tid_melhor_mensal;pipeline_melhor_mensal;tid_melhor_anual;pipeline_melhor_anual;atual_coincide
concessoes_livres_total;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis;3;Mensal;log→diff;7.0;yeojohnson→diff;12;boxcox→sdiff12→diff;✗
concessoes_livres_PJ_capital_de_giro_total;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
concessoes_livres_PJ_aquisicao_de_bens_total;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
concessoes_livres_PJ_arrendamento_mercantil_total;3;Mensal;log→diff;1.0;diff;9;sdiff12→diff;✗
concessoes_livres_PJ_cartao_de_credito_total;3;Mensal;log→diff;3.0;log→diff;11;log→sdiff12→diff;✓
concessoes_livres_PF_cheque_especial;3;Mensal;log→diff;3.0;log→diff;9;sdiff12→diff;✓
concessoes_livres_PF_credito_pessoal_nao_consignado_total;3;Mensal;log→diff;5.0;boxcox→diff;12;boxcox→sdiff12→diff;✗
concessoes_livres_PF_credito_pessoal_consignado_total;3;Mensal;log→diff;1.0;diff;14;mom_pct_annual_rate;✗
concessoes_livres_PF_aquisicao_de_bens_total;3;Mensal;log→diff;7.0;yeojohnson→diff;14;mom_pct_annual_rate;✗
concessoes_livres_PF_arrendamento_mercantil_total;3;Mensal;log→diff;13.0;mom_pct;15;yoy_pct_monthly;✗
concessoes_livres_PF_cartao_de_credito_total;3;Mensal;log→diff;13.0;mom_pct;14;mom_pct_annual_rate;✗
